postcode,oa11cd,lsoa11cd,msoa11cd,msoa11hclnm,wd19cd,wd19nm,lon,lat
M154WU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154WZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XA,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XB,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XD,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XE,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XF,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XG,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XH,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XQ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XR,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XS,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XT,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XX,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XY,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154XZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154ZZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155AG,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155BA,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457338
M155BE,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155BR,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155DB,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155HJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155HL,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155HW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155JU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155NF,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155PE,E00030963,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.254219,53.460017
M155PF,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155PP,E00030963,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.257892,53.459462
M155PQ,E00030963,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.256537,53.459734
M155PW,E00030963,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.253982,53.460674
M155PY,E00030959,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.254889,53.460997
M155QA,E00030957,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.254594,53.462049
M155QB,E00030957,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.253615,53.46197
M155QD,E00030959,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.254275,53.461547
M155QE,E00030959,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.255133,53.461473
M155QG,E00030963,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.254212,53.461052
M155QP,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155SL,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155TU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155TZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155UU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155UW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155UX,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155UY,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155UZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WA,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WE,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WF,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WG,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WH,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WN,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WP,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WQ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WR,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WS,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WT,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WY,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155WZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XA,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XB,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XD,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XL,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XN,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XT,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XX,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XY,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155XZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155YY,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155YZ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M155ZU,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
