gender,ageband,population
Male,0-4,7251
Male,5-9,8599
Male,10-19,15250
Male,20-29,12072
Male,30-39,15336
Male,40-49,16635
Male,50-59,16019
Male,60-69,11689
Male,70-79,8359
Male,80+,4868
Female,0-4,7070
Female,5-9,8165
Female,10-19,14621
Female,20-29,11196
Female,30-39,16572
Female,40-49,17697
Female,50-59,16900
Female,60-69,11923
Female,70-79,9751
Female,80+,7381
