area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E06000021,Stoke-on-Trent,Tier 3,362.4,397.6,1,9.4,0.8,43.1,70.3861108599331
E06000022,Bath and North East Somerset,Tier 2,91.6,83.4,1,3.3,0.1,20.8,14.856677818970972
E06000023,"Bristol, City of",Tier 3,139.6,124.8,0.7,4.3,0.7,20.1,22.994845826928294
E06000024,North Somerset,Tier 3,126.5,86.6,0.7,3.8,0.5,13.9,17.732163848449225
E06000025,South Gloucestershire,Tier 3,137.1,100.3,0.8,4.8,0.4,21.3,20.689031558007052
E06000026,Plymouth,Tier 2,60.7,44.4,0.7,1.8,0.2,8.6,7.2791391626729345
E06000027,Torbay,Tier 2,47,39,0.6,1.2,0.5,11.3,5.760014467854237
E06000030,Swindon,Tier 2,120.2,72.3,0.8,5.5,0.6,10.5,15.733791482050819
E06000031,Peterborough,Tier 2,204.7,135.9,1,7.6,0.2,12.9,29.514422642191878
E06000032,Luton,Tier 2,276,160.2,1,7.8,0.1,24.4,39.20788498055882
E06000033,Southend-on-Sea,Tier 2,160,98.9,1.4,5.1,2.2,46.5,25.15598155348585
E06000034,Thurrock,Tier 2,212.8,137.3,1,8.2,0.2,7.3,29.92133104258975
E06000035,Medway,Tier 3,605.3,465.9,1.3,16.4,0.4,52.5,100
E06000036,Bracknell Forest,Tier 2,117.5,20.3,1.7,4.9,0.4,10.1,10.760466588299122
E06000037,West Berkshire,Tier 2,53.6,27.3,0.8,2.7,0.3,14.4,5.714802423365583
E06000038,Reading,Tier 2,149.6,121.6,1.1,4.7,0.3,13.3,23.031015462519214
E06000039,Slough,Tier 3,248.8,209.4,0.8,7.8,0.4,9.8,39.8860656478886
E06000040,Windsor and Maidenhead,Tier 2,105.7,101.4,1,4.3,0.4,9.8,16.882177412062575
E06000041,Wokingham,Tier 2,126.8,93.7,1.2,5.4,0.3,12.5,18.446514151369925
E06000042,Milton Keynes,Tier 2,169.2,144.3,1.2,6.3,0.8,25.1,28.121891671941405
E06000043,Brighton and Hove,Tier 2,61.9,56.5,1,2.3,0,9.6,8.62645808843476
E06000044,Portsmouth,Tier 2,122.8,91.7,0.9,4.5,0.3,21.1,18.57310787593815
E06000045,Southampton,Tier 2,63,26.7,0.7,1.2,0,6.4,5.61533592549055
E06000046,Isle of Wight,Tier 1,21.2,5.9,0.6,0.7,0,7.5,0
E06000047,County Durham,Tier 3,149.6,105.6,0.7,6,0.2,22.5,22.488470928655392
E06000049,Cheshire East,Tier 2,113.5,82.6,0.9,4.4,0.7,19,16.74654127859662
E06000050,Cheshire West and Chester,Tier 2,100.9,109,0.9,3.8,1.3,40.2,19.911384392802244
E06000051,Shropshire,Tier 2,67.2,50.1,0.5,2.5,0.1,15.4,9.033366488832623
E06000052,Cornwall and Isles of Scilly,Tier 1,25.7,12,0.6,1,0.3,3.7,0.6691382584320463
E06000054,Wiltshire,Tier 2,77.4,61,1,3.2,0.2,12.2,10.769508997196855
E06000055,Bedford,Tier 2,109.1,93.6,1,3.2,0,2.4,15.679537028664436
E06000056,Central Bedfordshire,Tier 2,88.7,45.5,1.2,3.4,0.1,13.8,10.561533592549054
E06000057,Northumberland,Tier 3,167.8,118.3,0.9,5.5,0.2,24.6,25.445338638213222
E06000058,"Bournemouth, Christchurch and Poole",Tier 2,69.1,45.2,0.7,2.2,0,0.3,7.378605660547969
E06000059,Dorset,Tier 2,40.7,26.1,0.9,1.8,0.1,3.2,3.3366488832625016
E07000008,Cambridge,Tier 2,66.5,46.5,0.9,1.9,0,6,7.767429243150375
E07000009,East Cambridgeshire,Tier 2,67.9,29.7,1,2.9,0.1,7.6,6.62808572203635
E07000010,Fenland,Tier 2,108,90.6,1,4,0.1,15.9,16.610905145130666
E07000011,Huntingdonshire,Tier 2,48.3,12.9,0.8,2.2,0.2,11.8,3.644090785785333
E07000012,South Cambridgeshire,Tier 2,49,24.9,1,1.6,0,6.4,4.249932181933267
E07000026,Allerdale,Tier 2,74.7,38.8,0.9,2.8,0,3.5,7.667962745275342
E07000027,Barrow-in-Furness,Tier 2,85,143.7,1,3.2,0.4,45.9,22.00018084817795
E07000028,Carlisle,Tier 2,70.9,16.1,0.5,2.8,0,3.8,5.262681978479067
E07000029,Copeland,Tier 2,44,44,0.7,1.7,0.1,8.2,5.678632787774662
E07000030,Eden,Tier 2,41.3,16.3,0.6,2.1,0.1,10.3,3.146758296410164
E07000031,South Lakeland,Tier 2,89.4,116.3,0.9,3.7,0.4,44.8,19.857129939415863
E07000032,Amber Valley,Tier 3,150.6,103.3,0.7,5.9,0.9,25.6,22.705488742200924
E07000033,Bolsover,Tier 3,142.7,98.9,0.6,4.9,0.6,22.6,21.195406456279954
E07000034,Chesterfield,Tier 3,132.5,62.2,1.1,4.9,0.5,19.4,16.701329234107966
E07000035,Derbyshire Dales,Tier 3,77.4,39.9,0.5,3.4,0.7,22.9,9.847183289628356
E07000036,Erewash,Tier 3,123.1,95.2,0.9,5,0.9,28,19.640112125870328
E07000037,High Peak,Tier 3,85.3,46,0.7,3.6,0.5,28.4,11.628537842481236
E07000038,North East Derbyshire,Tier 3,105.5,62.2,0.6,4.2,0.5,20.9,14.287006058413962
E07000039,South Derbyshire,Tier 3,132.4,85,0.7,5.1,0.9,25.6,19.3326702233475
E07000040,East Devon,Tier 2,109.4,87.7,0.9,3.4,1.4,21.8,17.063025590017183
E07000041,Exeter,Tier 2,100.5,107.6,0.9,3.2,1.5,22.6,18.12098743105163
E07000042,Mid Devon,Tier 2,65.6,56.5,1,2.4,1.4,21.3,10.154625192151189
E07000043,North Devon,Tier 2,74.1,73.6,0.6,2.3,0.3,23.2,12.49660909666335
E07000044,South Hams,Tier 2,41.4,12.7,1.1,1.7,0.3,9.7,2.8031467582964105
E07000045,Teignbridge,Tier 2,35.8,39.8,0.7,1.2,0.7,14.2,5.108961027217649
E07000046,Torridge,Tier 2,101.1,94.5,1.1,2.8,0.3,23.1,16.909304638755764
E07000047,West Devon,Tier 2,82.4,85.5,1.2,2.5,0.7,14.5,13.644995026675105
E07000061,Eastbourne,Tier 2,69.4,43.5,0.8,2,0.3,8.8,8.038701510082285
E07000062,Hastings,Tier 2,115.5,32.6,1.4,3.1,0.3,9,11.393435211140247
E07000063,Lewes,Tier 2,54.2,66,0.7,2,0.1,9.6,8.744009404105254
E07000064,Rother,Tier 2,154,105.3,1.2,4.5,0.4,10.1,21.66561171896193
E07000065,Wealden,Tier 2,110.9,73,0.9,3.7,0.7,13.3,15.064653223618771
E07000066,Basildon,Tier 2,371.3,225.2,1.3,11.7,0.2,5.6,52.391717153449676
E07000067,Braintree,Tier 2,97.6,67.2,0.8,3.7,0.1,5.5,12.568948367845193
E07000068,Brentwood,Tier 2,223.3,194.6,1.3,6.6,0.1,13.9,36.522289537932906
E07000069,Castle Point,Tier 2,183.7,188.9,1.1,7,1.8,39,34.86752870964825
E07000070,Chelmsford,Tier 2,105.9,31.7,1,4.6,0.1,2.6,9.946649787503391
E07000071,Colchester,Tier 2,89.4,76.7,1.3,3.2,0.3,17.9,13.825843204629715
E07000072,Epping Forest,Tier 2,219.5,158.3,1.3,7.6,0.2,20.3,33.574464237272814
E07000073,Harlow,Tier 2,228.6,166.4,1,7.3,0.1,21.4,35.16592820327335
E07000074,Maldon,Tier 2,95.5,71,1.6,4.2,0.1,4.1,12.71362691020888
E07000075,Rochford,Tier 2,158,77.9,1.3,6.7,2,44.2,22.985803418030564
E07000076,Tendring,Tier 2,62.1,31.5,1,2,0.3,18.3,7.1706302559001704
E07000077,Uttlesford,Tier 2,86.5,12.8,1.1,3.1,0,9.3,6.953612442354644
E07000078,Cheltenham,Tier 2,80.8,44.5,0.7,2.8,0.7,24.6,10.68812731711728
E07000079,Cotswold,Tier 2,51.2,47.5,1.4,2.1,0.7,19.6,7.830726105434488
E07000080,Forest of Dean,Tier 2,73.7,40,0.8,2.7,0.7,24.2,9.603038249389636
E07000081,Gloucester,Tier 2,169.6,79.7,0.9,5.1,0.7,24.8,22.144859390541637
E07000082,Stroud,Tier 2,83.4,57,0.9,2.9,0.7,24.1,12.035446242879104
E07000083,Tewkesbury,Tier 2,93.7,85.7,0.8,3.5,0.7,23.8,15.580070530789403
E07000084,Basingstoke and Deane,Tier 2,96.3,83.7,1.1,3.7,0.2,22.5,15.51677366850529
E07000085,East Hampshire,Tier 2,57.2,43.6,0.6,1.7,0.3,18,7.731259607559454
E07000086,Eastleigh,Tier 2,56.1,23.5,0.9,2.1,0.1,13.4,5.443530156433673
E07000087,Fareham,Tier 2,81.7,57.1,1,3.3,0.3,19.7,11.50194411791301
E07000088,Gosport,Tier 2,128.5,106.4,0.9,4.1,0.3,20.9,20.363504837688758
E07000089,Hart,Tier 2,57.7,36.6,0.9,2.5,0.4,12.1,6.718509811013654
E07000090,Havant,Tier 2,107.7,76.2,0.8,3.8,0.3,20.3,15.661452210868976
E07000091,New Forest,Tier 2,36.6,18.4,0.8,1.2,0,4.7,2.3329414956144316
E07000092,Rushmoor,Tier 2,67.7,58.7,0.9,2.1,0.4,9.9,9.38602043584411
E07000093,Test Valley,Tier 2,46,42.6,0.7,1.6,0.1,15.9,6.420110317388551
E07000094,Winchester,Tier 2,67.3,32.3,0.8,2.4,0.2,20.6,7.9301926033095205
E07000095,Broxbourne,Tier 2,219,79.7,1.1,8.3,0.2,16.5,26.123519305543
E07000096,Dacorum,Tier 2,103.4,78.2,1,4.2,0.9,18.7,15.417307170630254
E07000098,Hertsmere,Tier 2,147.7,36.1,1.1,3.8,0.8,15.4,15.2816710371643
E07000099,North Hertfordshire,Tier 2,94.3,57.6,1,3.4,0,8.7,11.673749886969889
E07000102,Three Rivers,Tier 2,128.6,94.8,0.9,4.5,1,19.7,19.314585405552037
E07000103,Watford,Tier 2,180.2,139.8,1.5,5.9,1.1,20,28.26657021430509
E07000105,Ashford,Tier 3,206.1,101.8,1.4,6.3,0.2,25.4,27.60647436477078
E07000106,Canterbury,Tier 3,264.2,252.4,1.1,6.4,0.2,25.5,46.468939325436295
E07000107,Dartford,Tier 3,255.8,213.3,1.1,9,0.1,28.5,42.67112758838955
E07000108,Dover,Tier 3,314.1,241.4,1,7.6,0.2,25.5,50.085902884528444
E07000109,Gravesham,Tier 3,362.8,279.9,1,12.7,0.1,30.3,58.85703951532688
E07000110,Maidstone,Tier 3,398.7,204.5,1.3,10.5,1.6,27.1,54.9597612804051
E07000111,Sevenoaks,Tier 3,135.8,72.5,1.1,5.3,0.9,24.8,18.49172619585858
E07000112,Folkestone and Hythe,Tier 3,251.3,144,1.3,6.8,0.2,25.5,35.55475178587575
E07000113,Swale,Tier 3,579.7,340.5,1,14.4,0.4,45.9,85.54118817252917
E07000114,Thanet,Tier 3,425.6,249.8,0.9,9.8,0.2,25.8,61.144768966452666
E07000115,Tonbridge and Malling,Tier 3,238.4,151.7,1.2,8.7,1.6,26.5,35.46432769689845
E07000116,Tunbridge Wells,Tier 3,144.9,124.6,1.8,4.4,1.7,24.5,24.052807667962746
E07000117,Burnley,Tier 3,267.7,187.3,0.9,8.8,2.7,44.7,43.05995117099195
E07000118,Chorley,Tier 3,172.6,202.9,0.9,6.3,0.7,36.5,34.72285016728456
E07000119,Fylde,Tier 3,115.1,153.3,0.7,3.8,1.4,34.5,24.67673388190614
E07000120,Hyndburn,Tier 3,214.7,190.4,0.8,6.7,2.6,44.7,38.33981372637671
E07000121,Lancaster,Tier 3,119.1,133.3,1,4,0.4,44.8,24.116104530246858
E07000122,Pendle,Tier 3,288.8,225.6,0.9,10,2.7,42.1,48.304548331675555
E07000123,Preston,Tier 3,197.7,181.1,0.9,5.6,0.7,36.6,34.96699520752329
E07000124,Ribble Valley,Tier 3,133,85.5,0.7,5.1,2.2,41.9,21.023600687223077
E07000125,Rossendale,Tier 3,244.8,198,0.9,8.5,2.1,43.1,41.730717063025594
E07000126,South Ribble,Tier 3,168.8,124.2,0.7,5.9,0.7,36.9,27.244778008861566
E07000127,West Lancashire,Tier 3,119.9,86.1,1,3.7,0.2,41,19.53160321909757
E07000128,Wyre,Tier 3,111.5,110.4,0.9,3.9,1.4,35.7,20.607649877927482
E07000129,Blaby,Tier 3,190.1,139.2,0.8,7.7,0.6,19.2,29.089429423998553
E07000130,Charnwood,Tier 3,129.7,137.4,0.9,5.4,0.6,19.7,23.311330138348854
E07000131,Harborough,Tier 3,107.7,83.1,0.5,4.6,0.6,21.1,16.430056967176053
E07000132,Hinckley and Bosworth,Tier 3,107,62.6,0.9,4.5,0.6,18.2,14.277963649516229
E07000133,Melton,Tier 3,173.8,118.1,0.9,6.3,0.6,24,26.024052807667964
E07000134,North West Leicestershire,Tier 3,113.9,96.5,0.6,5.1,0.8,22.7,18.419386924676736
E07000135,Oadby and Wigston,Tier 3,245.5,121.6,0.7,6.2,0.6,19.6,32.39895108056787
E07000136,Boston,Tier 3,454.6,274.2,0.9,12,0.1,45,67.89944841305724
E07000137,East Lindsey,Tier 3,207.4,198.9,0.6,6.9,0.1,44,38.158965548422096
E07000138,Lincoln,Tier 3,377.6,357.9,1.1,8,0.1,45.1,68.17072067998915
E07000139,North Kesteven,Tier 3,249.8,245.2,1.3,7.9,0.1,43.7,46.30617596527715
E07000140,South Holland,Tier 3,145.2,185.7,1,5.9,0.1,29.8,30.002712722669315
E07000141,South Kesteven,Tier 3,200.8,127.4,1.3,7,0.2,28.2,29.749525273532875
E07000142,West Lindsey,Tier 3,213.2,229.8,1,6.9,0.1,43.4,41.45944479609368
E07000143,Breckland,Tier 2,65,54.4,1.1,2.2,0.2,12.7,9.015281671037165
E07000144,Broadland,Tier 2,117.8,92.2,1.1,4.2,0.1,12.4,17.352382674744554
E07000145,Great Yarmouth,Tier 2,121.8,84.7,1.6,4.4,0,8.6,16.74654127859662
E07000146,King's Lynn and West Norfolk,Tier 2,92.5,56.3,1,3.5,0,20.8,12.49660909666335
E07000147,North Norfolk,Tier 2,67.7,39.4,0.8,2.8,0.1,13.4,7.984447056695903
E07000148,Norwich,Tier 2,135.2,102.5,1.2,3.8,0.2,12.6,19.857129939415856
E07000149,South Norfolk,Tier 2,100.8,103.2,0.9,4,0.2,12,16.74654127859662
E07000150,Corby,Tier 2,95.5,106.3,0.8,3.6,0.7,29.4,18.12098743105163
E07000151,Daventry,Tier 2,103.5,116.4,0.9,4.1,1.3,26.5,19.60394249027941
E07000152,East Northamptonshire,Tier 2,105.8,191.3,0.9,3.6,0.7,26.4,26.47617325255448
E07000153,Kettering,Tier 2,124.8,114.5,1,4.3,0.7,29.8,21.62944208337101
E07000154,Northampton,Tier 2,163.8,156.4,0.9,4.7,1.6,31.6,29.216023148566777
E07000155,South Northamptonshire,Tier 2,101.6,123.3,0.7,4.3,1.3,21.6,19.612984899177142
E07000156,Wellingborough,Tier 2,124.2,114,1.1,4.7,1,30.2,21.63848449226874
E07000163,Craven,Tier 2,141.8,135.4,1.1,5.6,2.5,34.5,25.770865358531513
E07000164,Hambleton,Tier 2,66.6,19.5,0.6,2.8,1.1,18.3,6.600958495343158
E07000165,Harrogate,Tier 2,90.8,51.4,0.8,3.1,0.5,14.4,11.312053531060675
E07000166,Richmondshire,Tier 2,91.2,79.6,0.8,4.2,1,19.5,14.50402387195949
E07000167,Ryedale,Tier 2,72.2,52.3,0.7,3.3,0.3,18.7,10.091328329867077
E07000168,Scarborough,Tier 2,159.1,115.7,0.9,5.2,0.4,18.9,23.89908671670133
E07000169,Selby,Tier 2,109.2,61.9,0.7,4.4,0.2,22.9,14.775296138891402
E07000170,Ashfield,Tier 3,136.8,140.3,0.7,4.7,0.9,25.7,24.703861108599334
E07000171,Bassetlaw,Tier 3,256.3,267,1.1,8.7,0.7,37.7,48.43114205624378
E07000172,Broxtowe,Tier 3,127.2,152.5,1,5.8,0.7,29.7,25.4091690026223
E07000173,Gedling,Tier 3,134.9,175.5,0.9,5.5,0.7,30,28.176146125327783
E07000174,Mansfield,Tier 3,126.2,110.5,0.7,4.5,0.9,24.4,20.91509178045031
E07000175,Newark and Sherwood,Tier 3,185.4,145.4,1,6.5,0.8,26.9,29.848991771407903
E07000176,Rushcliffe,Tier 3,107.4,93.4,0.9,4.3,0.7,29.4,18.102902613256173
E07000177,Cherwell,Tier 2,78.4,86.1,0.8,2.8,1.2,6.2,12.623202821231578
E07000178,Oxford,Tier 2,122,131.9,0.9,4.3,1.2,6.1,20.84275250926847
E07000179,South Oxfordshire,Tier 2,52.1,31.4,0.9,2.1,0.9,8,5.380233294149562
E07000180,Vale of White Horse,Tier 2,61.8,45.4,1,2.4,1.1,6.5,7.441902522832082
E07000181,West Oxfordshire,Tier 2,42.5,51.9,0.8,1.5,1.2,6.2,6.166922868252103
E07000187,Mendip,Tier 2,76.1,77.3,0.6,2.9,0.3,17,12.50565150556108
E07000188,Sedgemoor,Tier 2,80.4,29.3,0.8,2.8,0.1,3,7.279139162672937
E07000189,South Somerset,Tier 2,104,97.5,1.1,3.6,0.9,15.9,16.91834704765349
E07000192,Cannock Chase,Tier 3,188.6,178.1,0.8,6.2,0.7,35,33.77339723302288
E07000193,East Staffordshire,Tier 3,220.5,132.5,0.8,6.6,0.9,26.8,31.84736413780631
E07000194,Lichfield,Tier 3,150.8,129.7,0.8,4.6,0.9,28.8,25.291617686951806
E07000195,Newcastle-under-Lyme,Tier 3,231,177.8,0.8,5.7,0.7,41.7,38.140880730626634
E07000196,South Staffordshire,Tier 3,171.7,136.2,0.7,5.7,0.6,34.3,28.3298670765892
E07000197,Stafford,Tier 3,180.7,183.3,0.7,5.7,0.7,41,34.0175422732616
E07000198,Staffordshire Moorlands,Tier 3,211.3,238.1,1,4.6,0.8,40.8,41.65837779184375
E07000199,Tamworth,Tier 3,172.1,141.3,0.7,5.9,1.1,27.4,28.26657021430509
E07000200,Babergh,Tier 2,83.7,92.2,0.9,3.1,0.3,13.5,14.268921240618498
E07000202,Ipswich,Tier 2,125.6,168,0.8,4.6,0.3,19.6,25.590017180576908
E07000203,Mid Suffolk,Tier 2,41.4,42.9,1,1.7,0.3,13.4,5.859480965729269
E07000207,Elmbridge,Tier 2,110.4,45.9,1.4,4,0.4,16,12.858305452572566
E07000208,Epsom and Ewell,Tier 2,145.1,185.1,1.1,5.4,0.4,23.6,29.369744099828193
E07000209,Guildford,Tier 2,99.3,68,0.9,3.4,0.3,11,13.292341079663622
E07000210,Mole Valley,Tier 2,115.8,56.8,1.2,4.1,0.3,18.1,14.50402387195949
E07000211,Reigate and Banstead,Tier 2,102.2,105.6,1.1,3.6,0.2,14.1,17.26195858576725
E07000212,Runnymede,Tier 2,249.4,133.1,1.8,7,0.6,12.1,33.285107152545436
E07000213,Spelthorne,Tier 2,132.2,58.1,0.9,4.3,0.6,12.4,15.607197757482593
E07000214,Surrey Heath,Tier 2,129.9,48.3,0.9,4.2,0.4,9.8,14.25083642282304
E07000215,Tandridge,Tier 2,128.2,55,1.6,4.3,0.1,10.3,14.79338095668686
E07000216,Waverley,Tier 2,64.9,39.5,0.9,2.1,0.3,10.7,7.459987340627543
E07000217,Woking,Tier 2,220.3,96.1,1.3,7.2,0.6,12.2,27.28999005335021
E07000218,North Warwickshire,Tier 3,147.1,135.4,0.6,4.9,0.7,19,24.577267384031103
E07000219,Nuneaton and Bedworth,Tier 3,180.9,141.4,0.7,5.1,0.5,15.4,27.859661813907227
E07000220,Rugby,Tier 3,115.7,75.7,0.7,4,0.2,13.4,15.715706664255357
E07000221,Stratford-on-Avon,Tier 3,45.4,38.4,0.5,1.9,0.5,11.5,5.6334207432860115
E07000222,Warwick,Tier 3,103,75.3,0.9,2.8,0.4,11,14.24179401392531
E07000223,Adur,Tier 2,35.8,15.8,0.7,1.4,0.4,5.9,2.1792205443530155
E07000224,Arun,Tier 2,64.7,38.6,1.2,1.9,0.4,6.1,6.962654851252373
E07000225,Chichester,Tier 2,45.4,31.2,0.6,1.6,0.4,7.6,4.602586128944751
E07000226,Crawley,Tier 2,41.8,28.5,0.6,1.8,0,8.7,4.1142960484673115
E07000227,Horsham,Tier 2,61.2,45.4,0.9,2.5,0.2,7.7,7.41477529613889
E07000228,Mid Sussex,Tier 2,100,50.3,1.1,3.7,0.1,9.4,11.637580251378967
E07000229,Worthing,Tier 2,25.3,25.4,0.8,0.8,0.4,5.5,2.016457184193869
E07000234,Bromsgrove,Tier 2,114.1,136.3,0.7,4.1,0.6,20.1,21.701781354552853
E07000235,Malvern Hills,Tier 2,57.2,50.3,0.8,2,0.6,18.3,8.436567501582422
E07000236,Redditch,Tier 2,156,159.3,0.8,6.1,0.6,18.1,27.579347138077587
E07000237,Worcester,Tier 2,78,56.9,0.7,3.1,0.6,18.3,11.004611628537841
E07000238,Wychavon,Tier 2,73.4,60.5,0.8,2.9,0.6,18.4,10.91418753956054
E07000239,Wyre Forest,Tier 2,94.8,82.7,0.5,3.3,0.6,20.2,15.02848358802785
E07000240,St Albans,Tier 2,104.4,42.7,1,3.7,0.8,18.6,12.234379238629172
E07000241,Welwyn Hatfield,Tier 2,101.6,59.9,1,3.4,0.1,9.4,12.614160412333844
E07000242,East Hertfordshire,Tier 2,151.6,64.4,1.3,5.7,0.1,14.4,18.229496337824397
E07000243,Stevenage,Tier 2,133.2,92.7,1.4,4.8,0.1,8.8,18.54598064924496
E07000244,East Suffolk,Tier 2,51.3,58.4,0.9,2,0.2,14.2,8.237634505832352
E07000245,West Suffolk,Tier 2,51.4,50.1,1.4,2.1,0.3,7.1,6.917442806763723
E07000246,Somerset West and Taunton,Tier 2,76.1,35.6,1.4,1.9,0.1,2.1,7.351478433854777
E08000001,Bolton,Tier 3,180.8,141.4,0.7,7.7,0.4,37.1,30.038882358260246
E08000002,Bury,Tier 3,219.9,233.5,0.9,8.6,0.1,37.7,42.02911655665069
E08000003,Manchester,Tier 3,173.5,208,0.8,5.8,0.2,26.3,34.24360249570485
E08000004,Oldham,Tier 3,176.7,127,0.6,6.1,0.1,37.2,28.194230943123245
E08000005,Rochdale,Tier 3,224.8,209,0.8,8.3,0.1,37.9,40.23871959490008
E08000006,Salford,Tier 3,139.1,119,0.8,6,0.3,38.2,24.1884438014287
E08000007,Stockport,Tier 3,117.2,86.9,0.7,4.9,0.3,29.4,18.401302106881275
E08000008,Tameside,Tier 3,135.5,100.5,0.8,5.1,0.4,25.6,20.978388642734423
E08000009,Trafford,Tier 3,96.1,66.7,0.8,4.7,0.2,24.3,14.187539560538928
E08000010,Wigan,Tier 3,194.1,191.2,0.8,8.4,0.4,34.6,35.590921421466675
E08000011,Knowsley,Tier 2,93.5,44.6,0.7,2.1,0.3,23.5,11.646622660276696
E08000012,Liverpool,Tier 2,87.3,80.7,0.8,1,0.2,15.4,13.51840130210688
E08000013,St. Helens,Tier 2,132.3,122.8,1,4.3,0.4,19.8,22.12677457274618
E08000014,Sefton,Tier 2,77.1,80.9,0.6,1.7,0.3,44.9,15.335925490550684
E08000015,Wirral,Tier 2,53.1,48.1,0.7,1.8,0.1,23.7,8.282846550321004
E08000016,Barnsley,Tier 3,158.4,172.9,0.7,6.2,0.2,44.6,31.386201284022064
E08000017,Doncaster,Tier 3,205.5,181.3,1,8.2,0.8,39.1,36.16963559092142
E08000018,Rotherham,Tier 3,195.9,231.5,0.9,7.3,2.1,60.1,41.76688669861651
E08000019,Sheffield,Tier 3,153,117.7,0.8,5.5,0.8,30.1,24.595352201826568
E08000021,Newcastle upon Tyne,Tier 3,137.4,80.2,0.6,4.8,0.2,12.8,18.093860204358442
E08000022,North Tyneside,Tier 3,171.2,216.8,0.7,6.4,0.2,22.6,34.54200198932996
E08000023,South Tyneside,Tier 3,213.9,210.9,0.8,8.8,0.1,4.8,36.477077493444256
E08000024,Sunderland,Tier 3,156.3,123.1,0.7,6,0.1,5.7,23.148566778189707
E08000025,Birmingham,Tier 3,191.4,162.7,0.7,7.3,1.1,27.7,32.100551586942764
E08000026,Coventry,Tier 3,137,111.1,0.7,4,0.2,13.4,20.84275250926847
E08000027,Dudley,Tier 3,234.5,208.5,0.7,7.9,0.2,40.3,41.25146939144588
E08000028,Sandwell,Tier 3,233.2,194.5,0.7,8.2,1.2,43.9,40.31105886608192
E08000029,Solihull,Tier 3,152.5,128.1,0.8,5.9,1.1,26.7,25.246405642463156
E08000030,Walsall,Tier 3,209.5,149.9,0.7,7.3,0.6,43.2,33.936160593182024
E08000031,Wolverhampton,Tier 3,245.3,178.6,0.8,7.9,0.7,30.6,38.701510082285914
E08000032,Bradford,Tier 3,210.6,171.1,0.8,6.8,0.7,30.2,34.74997739397775
E08000033,Calderdale,Tier 3,220.4,163.6,0.9,8.5,0.2,25.1,34.6143412605118
E08000034,Kirklees,Tier 3,209.2,162.4,0.7,8.3,0.1,33,34.16222081562528
E08000035,Leeds,Tier 3,153.1,133.5,0.8,6,0.1,25.2,25.571932362781446
E08000036,Wakefield,Tier 3,183.2,184.8,0.7,7.4,0,43.2,34.668595713898185
E08000037,Gateshead,Tier 3,116.3,67.5,0.6,4.1,0.4,24.2,16.02314856677819
E09000002,Barking and Dagenham,Tier 2,298.7,252.3,1.2,10.6,0.1,29.6,50.330047924767165
E09000003,Barnet,Tier 2,165.5,150.2,1.1,4.7,0.6,12.2,26.98254815082738
E09000004,Bexley,Tier 2,251.3,152.5,1.3,8.3,0,18.8,35.835066461705395
E09000005,Brent,Tier 2,144.3,107.8,0.8,5.8,0.3,13.4,21.38529704313229
E09000006,Bromley,Tier 2,171.5,74.4,1.4,6.8,0,12,20.81562528257528
E09000007,Camden,Tier 2,87.4,43.9,1,1.2,0.5,9.1,9.693462338366942
