area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E06000001,Hartlepool,Tier 3,241.3,161.6,0.9,8.9,0.3,46.3,38.28555927299032
E06000002,Middlesbrough,Tier 3,173.1,89.7,0.8,5.9,1.3,19.6,23.012930644723752
E06000003,Redcar and Cleveland,Tier 3,129.8,117.3,0.7,5.1,1.3,19.1,21.466678723211867
E06000004,Stockton-on-Tees,Tier 3,168.2,150.8,0.7,8,0.4,45.3,30.518130029839952
E06000005,Darlington,Tier 3,227.5,266.3,0.9,8.4,0.4,24.8,44.524821412424274
E06000006,Halton,Tier 2,117.5,65.8,0.8,3.9,1,34.4,16.954516683244417
E06000007,Warrington,Tier 2,126.2,92.8,0.9,4.8,1.6,49.4,21.683696536757395
E06000008,Blackburn with Darwen,Tier 3,299.9,248.3,1.1,10.1,2.6,44.4,51.58694276155168
E06000009,Blackpool,Tier 3,137.7,163.6,0.8,3.8,1.6,34.8,27.705940862645807
E06000010,"Kingston upon Hull, City of",Tier 3,215.2,202.5,0.7,6.8,0.5,27.1,37.69780269463786
E06000011,East Riding of Yorkshire,Tier 3,161.5,143.4,0.7,5.8,0.4,26.3,27.326159688941136
E06000012,North East Lincolnshire,Tier 3,186.8,213.4,0.7,7.3,0.1,39.8,37.27280947644453
E06000013,North Lincolnshire,Tier 3,176.4,104.3,0.7,6.9,0.1,39.2,26.376706754679446
E06000014,York,Tier 2,65.5,62.5,0.7,2.4,0.2,18.5,10.299303734514874
E06000015,Derby,Tier 3,138,112.9,0.6,4.8,1,26.3,22.39804683967809
E06000016,Leicester,Tier 3,247.3,223.7,0.8,7,0.6,19.6,41.87539560538928
E06000017,Rutland,Tier 2,80.1,23.6,1.1,3.1,0.4,16.9,8.074871145673207
E06000018,Nottingham,Tier 3,155.9,222.2,0.9,5.2,0.7,29.9,34.26168731350031
E06000019,"Herefordshire, County of",Tier 2,60.7,47.6,0.7,2.2,1.1,16.2,8.37327063929831
E06000020,Telford and Wrekin,Tier 2,126.2,90.5,0.6,3.6,0.1,15.9,18.175241884438016
